"time_iso","time_ms","time_s"," "," "," "," "," "," "," "," "," "," "
"2026-07-15T10:42:11.328Z","18089","18.089","0","0","0","0","0","0","0","0","0","14.89"
"2026-07-15T10:42:11.389Z","18150","18.150","0","0","0","0","0","0","0","0","0","15.24"
"2026-07-15T10:42:11.442Z","18203","18.203","0","0","0","0","0","0","0","0","0","15.68"
"2026-07-15T10:42:11.504Z","18265","18.265","-25.71","3.71","-135.3","0","-135","0","280.5","328.5","2","15.83"
"2026-07-15T10:42:11.631Z","18392","18.392","-26.92","4.67","-160.9","0","-161","0","279.1","329.5","2","16.04"
"2026-07-15T10:42:11.695Z","18456","18.456","-10.92","3.24","-59.3","0","-59","0","298","328.9","2","14.76"
"2026-07-15T10:42:11.751Z","18512","18.512","-5.52","3.47","-32","0","-32","0","305","328.7","3","15.09"
"2026-07-15T10:42:11.814Z","18575","18.575","4.4","4.67","0","0","0","0","315.7","329.4","2","15.37"
"2026-07-15T10:42:11.870Z","18631","18.631","9.57","4.79","38.7","0","39","0","319.9","329.5","2","15.65"
"2026-07-15T10:42:11.920Z","18681","18.681","9.52","4.76","44.2","0","44","0","319.7","329.5","2","15.8"
"2026-07-15T10:42:12.051Z","18812","18.812","7.86","4.98","37.5","0","38","0","318","329.7","2","16.11"
"2026-07-15T10:42:12.113Z","18874","18.874","2.67","4.77","32","0","32","0","312.5","329.3","2","14.89"
"2026-07-15T10:42:12.169Z","18930","18.930","0.09","4.14","0","0","0","0","309.7","328.8","2","15.25"
"2026-07-15T10:42:12.236Z","18997","18.997","-2.34","3.74","0","0","0","0","307.1","328.5","3","15.2"
"2026-07-15T10:42:12.293Z","19054","19.054","-4.15","3.74","0","0","0","0","305.3","328.3","3","15.55"
"2026-07-15T10:42:12.419Z","19180","19.180","0.13","-3.75","0","0","0","0","309.6","320.6","2","15.72"
"2026-07-15T10:42:12.479Z","19240","19.240","0.03","-8.9","0","-28","0","-28","309.5","315.7","3","14.54"
"2026-07-15T10:42:12.532Z","19293","19.293","-0.03","-10.56","0","-28","0","-28","309.5","314","3","15.19"
"2026-07-15T10:42:12.600Z","19361","19.361","1.89","-18.55","0","-90.1","0","-90","312.7","306.1","2","15.41"
"2026-07-15T10:42:12.644Z","19405","19.405","3.49","-21.56","0","-77.7","0","-78","313.4","303.1","3","15.78"
"2026-07-15T10:42:12.703Z","19464","19.464","4.4","-18.57","0","-93.1","0","-93","314.5","307.4","2","15.87"
"2026-07-15T10:42:12.837Z","19598","19.598","5.14","-19.13","0","-66.6","0","-67","315.4","306.9","3","15.87"
"2026-07-15T10:42:12.903Z","19664","19.664","4.28","-13.19","0","-51","0","-51","315.4","313.1","2","14.67"
"2026-07-15T10:42:12.958Z","19719","19.719","3.69","-11.36","0","-41.3","0","-41","315.5","314.5","2","15.1"
"2026-07-15T10:42:13.023Z","19784","19.784","4.49","-13.88","0","-49.8","0","-50","316.3","312.8","2","15.18"
"2026-07-15T10:42:13.076Z","19837","19.837","3.39","-16.29","0","-59.9","0","-60","315.6","310.4","2","15.58"
"2026-07-15T10:42:13.204Z","19965","19.965","3.02","-17.33","0","-60.2","0","-60","315.5","309.4","3","15.63"
"2026-07-15T10:42:13.261Z","20022","20.022","2.63","-18.45","0","-37.1","0","-37","315.4","307.8","3","14.49"
"2026-07-15T10:42:13.313Z","20074","20.074","6.03","-18.54","32","-89.1","32","-89","319.1","307.8","2","14.82"
"2026-07-15T10:42:13.381Z","20142","20.142","9.4","-19.47","42.8","-93.2","43","-93","321.9","307","2","15.01"
"2026-07-15T10:42:13.446Z","20207","20.207","7.2","-19.58","35.3","-93.9","35","-94","320.4","307.3","2","15.44"
"2026-07-15T10:42:13.498Z","20259","20.259","7.39","-19.09","32","-65.7","32","-66","320.7","307","3","15.67"
"2026-07-15T10:42:13.565Z","20326","20.326","7.3","-19.55","32","-39.1","32","-39","320.9","306.8","3","16.04"
"2026-07-15T10:42:13.669Z","20430","20.430","5.22","-14.86","32","-55.7","32","-56","318.9","311.4","2","16.1"
"2026-07-15T10:42:13.746Z","20507","20.507","4.3","-12.61","32","-33.6","32","-34","317.9","313.8","3","14.89"
"2026-07-15T10:42:13.783Z","20544","20.544","3.79","-11.75","32","-28","32","-28","317.6","314.7","3","15.44"
"2026-07-15T10:42:13.856Z","20617","20.617","9.29","-22.58","41.4","-105.8","41","-106","323","303.7","2","15.43"
"2026-07-15T10:42:13.906Z","20667","20.667","9.1","-26.99","43.8","-133","44","-133","323","299.4","2","15.79"
"2026-07-15T10:42:13.968Z","20729","20.729","9.66","-29.84","33.1","-106","33","-106","323.7","296.3","3","15.77"
"2026-07-15T10:42:14.096Z","20857","20.857","3.29","-21.95","32","-108.5","32","-109","317.2","304.2","2","16.23"
"2026-07-15T10:42:14.164Z","20925","20.925","2.54","-7.81","32","-33.1","32","-33","316.6","318.6","2","14.95"
"2026-07-15T10:42:14.209Z","20970","20.970","2.12","-0.76","0","0","0","0","316.3","326.3","2","15.39"
"2026-07-15T10:42:14.281Z","21042","21.042","1.18","4.49","0","0","0","0","315.7","330.9","2","15.54"
"2026-07-15T10:42:14.344Z","21105","21.105","3.19","6.38","0","28","0","28","317.4","332.7","2","15.93"
"2026-07-15T10:42:14.405Z","21166","21.166","5.98","7.54","32","28","32","28","320.2","333.9","2","15.69"
"2026-07-15T10:42:14.522Z","21283","21.283","6.55","6.14","32","28","32","28","320.8","332.5","2","16.06"
"2026-07-15T10:42:14.584Z","21345","21.345","9.14","8.18","32","28","32","28","323.1","334.6","3","14.85"
"2026-07-15T10:42:14.635Z","21396","21.396","9.81","9.27","32","28","32","28","323.9","335.3","3","15.51"
"2026-07-15T10:42:14.697Z","21458","21.458","15.93","1.94","73.6","28","74","28","329.7","328","2","15.68"
"2026-07-15T10:42:14.750Z","21511","21.511","21.31","0.16","130.9","0","131","0","335.1","326.3","2","16.06"
"2026-07-15T10:42:14.806Z","21567","21.567","26.14","-4.72","161.1","0","161","0","339.5","321.2","2","16.03"
"2026-07-15T10:42:14.939Z","21700","21.700","30.74","-7.43","136.6","-28","137","-28","342.8","318.6","3","16.4"
"2026-07-15T10:42:14.992Z","21753","21.753","25.04","-6.43","156.5","-28","156","-28","335","319.4","2","15.08"
"2026-07-15T10:42:15.056Z","21817","21.817","20.31","1","123.3","0","123","0","329.9","326.8","2","15.5"
"2026-07-15T10:42:15.117Z","21878","21.878","17.24","11.19","101.7","0","102","0","326.8","336.8","2","15.63"
"2026-07-15T10:42:15.177Z","21938","21.938","16.39","13.91","95.2","48.3","95","48","325.1","339.6","2","15.92"
"2026-07-15T10:42:15.236Z","21997","21.997","19.31","14.31","112.8","52.9","113","53","327.5","339.7","2","15.87"
"2026-07-15T10:42:15.350Z","22111","22.111","22.2","10.55","132.6","39.7","133","40","330","335.7","2","16.22"
"2026-07-15T10:42:15.421Z","22182","22.182","34.87","5.43","204","28","204","28","341.6","331.6","2","14.97"
